Tms_1	Tms_2	Tms_3	Tml_1	Tml_2	Tml_3
Tpr_TRINITY_DN10402_c2_g1|Tdu_TRINITY_DN22665_c0_g1	7.02060388800839	6.93846169598677	7.23038508515709	5.78292999368823	6.95672197847743	7.31496550492825
Tpr_TRINITY_DN14398_c0_g2|Tdu_TRINITY_DN17389_c3_g3	6.35317922709527	5.95213663288385	5.22407131122488	2.4324327466041	6.06363718239394	5.76540834033829
Tpr_TRINITY_DN14658_c3_g7|Tdu_TRINITY_DN20012_c3_g1	4.98818241031602	4.13110677392917	5.54092841656483	5.53676940641884	4.9443382540216	5.41031338151573
Tpr_TRINITY_DN9916_c0_g1|Tdu_TRINITY_DN17297_c0_g1	4.19171580440115	4.86807236809537	4.67658351592239	5.06470096210361	5.29581062452298	4.84202962194121
Tpr_TRINITY_DN14132_c3_g1|Tdu_TRINITY_DN20642_c1_g1	7.42760406822182	6.7940717866516	6.75750351130596	4.86539215388021	7.6485996831151	6.94983291147572
Tpr_TRINITY_DN13550_c0_g1|Tdu_TRINITY_DN10834_c0_g2	5.72514800448222	4.86807236809537	5.27382434642198	2.91785957377434	4.33428477233761	5.26945084567588
Tpr_TRINITY_DN12084_c0_g4|Tdu_TRINITY_DN17897_c3_g2	9.00718337224607	8.72007120520782	7.92645667368095	7.70296168898482	8.25126418556972	8.45572384120568
Tpr_TRINITY_DN11948_c3_g2|Tdu_TRINITY_DN22503_c2_g3	7.27470516907218	7.36376753071944	7.12589091728598	6.04124198927962	6.98117502220197	7.16395771682857
Tpr_TRINITY_DN10830_c0_g2|Tdu_TRINITY_DN16824_c0_g5	5.22919050981981	4.61653360109941	5.27382434642198	4.35843216516032	4.60991921495104	5.59875847092884
Tpr_TRINITY_DN6122_c0_g1|Tdu_TRINITY_DN37846_c0_g1	4.33610571373632	5.35349919526561	4.24916229218772	2.91785957377434	3.78679697703512	4.3763660495924
Tpr_TRINITY_DN14771_c8_g6|Tdu_TRINITY_DN18489_c3_g2	5.37005304565966	5.4336695439496	5.86691472802654	5.31995801734569	5.5782103552237	5.19350199244258
Tpr_TRINITY_DN15533_c2_g1|Tdu_TRINITY_DN18838_c2_g6	5.55849813507277	6.00557589184531	4.60063466268909	5.60235774804641	5.75878260086552	6.52320743792167
Tpr_TRINITY_DN14760_c2_g1|Tdu_TRINITY_DN21911_c2_g4	4.98818241031602	5.95213663288385	4.03503748683487	4.86539215388021	4.8412447610575	4.7389361289771
Tpr_TRINITY_DN13112_c3_g9|Tdu_TRINITY_DN25069_c2_g1	8.7924112313869	8.65466872998618	8.42735490961363	8.69170523364169	8.43065316680985	8.5424693400823
Tpr_TRINITY_DN12978_c2_g1|Tdu_TRINITY_DN21592_c2_g3	5.8264313403194	6.76337498942868	5.93034010816818	5.39590687057898	6.01709459645692	5.86669167617548
Tpr_TRINITY_DN11038_c4_g8|Tdu_TRINITY_DN22686_c1_g3	9.5566567882486	9.55289110564859	9.68465294589828	10.4245213556181	9.45486372040172	9.50564906653736
Tpr_TRINITY_DN14647_c0_g2|Tdu_TRINITY_DN20553_c6_g1	6.21057483165246	6.15495351588353	5.93034010816818	3.56993627035403	5.21564027583899	5.91478596437652
Tpr_TRINITY_DN15229_c3_g5|Tdu_TRINITY_DN20036_c5_g3	4.33610571373632	5.4336695439496	4.81744605176224	4.35843216516032	4.9443382540216	4.7389361289771
Tpr_TRINITY_DN13095_c0_g1|Tdu_TRINITY_DN20734_c1_g6	7.44363417804077	8.16085411732322	6.75750351130596	7.78998475122218	7.48723669517621	7.10298969953714
Tpr_TRINITY_DN15264_c1_g3|Tdu_TRINITY_DN20127_c1_g1	5.7766783051223	5.95213663288385	6.21136025947533	5.83842510627994	6.52930075474276	5.65647396878513
Tpr_TRINITY_DN11065_c1_g2|Tdu_TRINITY_DN15155_c1_g1	6.51364389928851	6.41404073720066	6.23667134800452	5.94339466588148	6.68627010108116	6.32389862969826
Tpr_TRINITY_DN10529_c1_g1|Tdu_TRINITY_DN18426_c5_g1	10.2023543248475	10.6867184509179	10.1634958709818	10.0574109261731	9.18701959789923	10.4445045231233
Tpr_TRINITY_DN15101_c2_g1|Tdu_TRINITY_DN20083_c6_g1	7.73169085034899	7.57294433255172	8.23980423748948	5.66509350339437	7.34374510158668	7.81059711410455
